model,binary_test_accuracy,norm_label_test_accuracy,norm_top3_accuracy,norm_top5_accuracy,norm_top10_accuracy,region_top1_accuracy,region_top3_accuracy,region_top5_accuracy,binary_train_size,binary_test_size,norm_train_size,norm_test_size,n_norm_labels,stage1_status,stage2_status,stage1_epochs,stage1_batch_size,stage2_epochs,stage2_batch_size,train_csv,test_csv
roberta-large,0.9959830395001116,0.3719892952720785,0.5231935771632471,0.6079393398751115,0.7484388938447815,0.4870651204281891,0.715878679750223,0.8264942016057092,23024,4481,16462,2242,102,ok,ok,3,8,20,16,train_merged_oversampled.csv,test_culturebank.csv
microsoft/deberta-v3-large,,,,,,,,,23024,4481,16462,2242,102,failed: `tiktoken` is required to read a `tiktoken` file. Install it with `pip install tiktoken`.,failed: `tiktoken` is required to read a `tiktoken` file. Install it with `pip install tiktoken`.,3,8,20,16,train_merged_oversampled.csv,test_culturebank.csv
google/flan-t5-base,0.9959830395001116,0.4143621766280107,0.5486173059768065,0.6226583407671722,0.7404103479036575,0.5370205173951829,,,23024,4481,16462,2242,102,ok,ok,3,8,20,16,train_merged_oversampled.csv,test_culturebank.csv
