model,binary_test_accuracy,norm_label_test_accuracy,norm_top3_accuracy,norm_top5_accuracy,norm_top10_accuracy,binary_train_size,binary_test_size,norm_train_size,norm_test_size,n_norm_labels,stage1_status,stage2_status,stage1_epochs,stage1_batch_size,stage2_epochs,stage2_batch_size,train_csv,test_csv
roberta-base,0.9949399114484504,0.33544037083860095,0.49051833122629585,0.5794353139485883,0.694479561736199,24050,4743,17420,2373,183,ok,ok,3,8,8,64,train_merged_oversampled.csv,test_culturebank.csv
google/flan-t5-base,0.996415770609319,0.37420986093552466,0.5120101137800253,0.5874420564686051,0.7050147492625368,24050,4743,17420,2373,183,ok,ok,3,8,8,64,train_merged_oversampled.csv,test_culturebank.csv
