model,binary_test_accuracy,norm_label_test_accuracy,norm_top3_accuracy,norm_top5_accuracy,norm_top10_accuracy,region_top1_accuracy,region_top3_accuracy,region_top5_accuracy,binary_train_size,binary_test_size,norm_train_size,norm_test_size,n_norm_labels,stage1_status,stage2_status,stage1_epochs,stage1_batch_size,stage2_epochs,stage2_batch_size,train_csv,test_csv
roberta-large,0.9959830395001116,0.35459411239964317,0.4892952720785013,0.58028545941124,0.7185548617305977,0.4888492417484389,0.7056199821587869,0.8215878679750223,23024,4481,11550,2242,102,ok,ok,3,8,20,16,train_merged.csv,test_culturebank.csv
microsoft/deberta-v3-large,,,,,,,,,23024,4481,11550,2242,102,failed: `tiktoken` is required to read a `tiktoken` file. Install it with `pip install tiktoken`.,failed: `tiktoken` is required to read a `tiktoken` file. Install it with `pip install tiktoken`.,3,8,20,16,train_merged.csv,test_culturebank.csv
google/flan-t5-base,0.9959830395001116,0.4143621766280107,0.5423728813559322,0.6106155218554862,0.7421944692239072,0.5312221231043711,,,23024,4481,11550,2242,102,ok,ok,3,8,20,16,train_merged.csv,test_culturebank.csv
