model,binary_test_accuracy,norm_label_test_accuracy,norm_top3_accuracy,norm_top5_accuracy,norm_top10_accuracy,binary_train_size,binary_test_size,norm_train_size,norm_test_size,n_norm_labels,stage1_status,stage2_status,stage1_epochs,stage1_batch_size,stage2_epochs,stage2_batch_size,train_csv,test_csv
roberta-base,0.9949399114484504,0.34007585335018964,0.5027391487568479,0.5823851664559629,0.6978508217446271,24050,4743,12067,2373,183,ok,ok,3,8,8,64,train_merged.csv,test_culturebank.csv
google/flan-t5-base,0.996415770609319,0.3771597134428993,0.516645596291614,0.5941845764854614,0.7222924568057312,24050,4743,12067,2373,183,ok,ok,3,8,8,64,train_merged.csv,test_culturebank.csv
