model,binary_test_accuracy,norm_label_test_accuracy,norm_top3_accuracy,norm_top5_accuracy,norm_top10_accuracy,binary_train_size,binary_test_size,norm_train_size,norm_test_size,n_norm_labels,stage1_status,stage2_status,stage1_epochs,stage1_batch_size,stage2_epochs,stage2_batch_size,train_csv,test_csv
roberta-base,0.9957832595403753,0.3442899283607248,0.5040033712600084,0.5874420564686051,0.7020648967551623,18910,4743,9491,2373,151,ok,ok,3,8,8,64,train_culturebank.csv,test_culturebank.csv
google/flan-t5-base,0.9955724225173941,0.3935946059839865,0.5229667088074168,0.5950273914875684,0.7193426042983565,18910,4743,9491,2373,151,ok,ok,3,8,8,64,train_culturebank.csv,test_culturebank.csv
