model,binary_test_accuracy,norm_label_test_accuracy,norm_top3_accuracy,norm_top5_accuracy,norm_top10_accuracy,region_top1_accuracy,region_top3_accuracy,region_top5_accuracy,binary_train_size,binary_test_size,norm_train_size,norm_test_size,n_norm_labels,stage1_status,stage2_status,stage1_epochs,stage1_batch_size,stage2_epochs,stage2_batch_size,train_csv,test_csv
roberta-large,0.9939745592501674,0.3470115967885816,0.487957181088314,0.5664585191793042,0.703835860838537,0.4848349687778769,0.6975914362176628,0.8229259589652096,17884,4481,8974,2242,76,ok,ok,3,8,20,16,train_culturebank.csv,test_culturebank.csv
microsoft/deberta-v3-large,,,,,,,,,17884,4481,8974,2242,76,failed: `tiktoken` is required to read a `tiktoken` file. Install it with `pip install tiktoken`.,failed: `tiktoken` is required to read a `tiktoken` file. Install it with `pip install tiktoken`.,3,8,20,16,train_culturebank.csv,test_culturebank.csv
google/flan-t5-base,0.9964293684445437,0.4134701159678858,0.5379125780553078,0.6132917038358608,0.7471008028545941,0.5227475468331847,,,17884,4481,8974,2242,76,ok,ok,3,8,20,16,train_culturebank.csv,test_culturebank.csv
